Simülasyon süresi: 12 sn
Müşteri gelme aralığı: 2 sn
Tek seferde gelen toplam müşteri sayısı: 3
Tek seferde gelen önemli müşteri sayısı: 3

Yapılan toplam hesaplama sayısı: 370
1) Masa sayısı: 1 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -2
218) Masa sayısı: 5 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -8
219) Masa sayısı: 5 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -9
220) Masa sayısı: 5 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -10
221) Masa sayısı: 5 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -7
222) Masa sayısı: 5 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -7
223) Masa sayısı: 5 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -8
224) Masa sayısı: 5 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -9
225) Masa sayısı: 5 | Garson sayısı: 3 | Aşçı sayısı: 5 | Müşteri sayısı: 3 | Kazanç: -10
226) Masa sayısı: 5 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
227) Masa sayısı: 5 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -7
228) Masa sayısı: 5 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -8
229) Masa sayısı: 5 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 4 | Kazanç: -9
230) Masa sayısı: 5 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
231) Masa sayısı: 5 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -8
232) Masa sayısı: 5 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -8
233) Masa sayısı: 5 | Garson sayısı: 5 | Aşçı sayısı: 4 | Müşteri sayısı: 5 | Kazanç: -9
234) Masa sayısı: 5 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
235) Masa sayısı: 5 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -9
236) Masa sayısı: 5 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -9
237) Masa sayısı: 5 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
238) Masa sayısı: 5 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -10
239) Masa sayısı: 5 | Garson sayısı: 7 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -10
240) Masa sayısı: 5 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
241) Masa sayısı: 5 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
242) Masa sayısı: 5 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
243) Masa sayısı: 5 | Garson sayısı: 9 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
244) Masa sayısı: 5 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
245) Masa sayısı: 5 | Garson sayısı: 11 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
246) Masa sayısı: 6 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -7
247) Masa sayısı: 6 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -8
248) Masa sayısı: 6 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -9
249) Masa sayısı: 6 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -10
250) Masa sayısı: 6 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -11
251) Masa sayısı: 6 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -7
252) Masa sayısı: 6 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -8
253) Masa sayısı: 6 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -9
254) Masa sayısı: 6 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -10
255) Masa sayısı: 6 | Garson sayısı: 2 | Aşçı sayısı: 5 | Müşteri sayısı: 2 | Kazanç: -11
256) Masa sayısı: 6 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
257) Masa sayısı: 6 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -8
258) Masa sayısı: 6 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -9
259) Masa sayısı: 6 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -10
260) Masa sayısı: 6 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
261) Masa sayısı: 6 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -8
262) Masa sayısı: 6 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -9
263) Masa sayısı: 6 | Garson sayısı: 4 | Aşçı sayısı: 4 | Müşteri sayısı: 4 | Kazanç: -10
264) Masa sayısı: 6 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
265) Masa sayısı: 6 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -9
266) Masa sayısı: 6 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -9
267) Masa sayısı: 6 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
268) Masa sayısı: 6 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -10
269) Masa sayısı: 6 | Garson sayısı: 6 | Aşçı sayısı: 3 | Müşteri sayısı: 6 | Kazanç: -9
270) Masa sayısı: 6 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
271) Masa sayısı: 6 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
272) Masa sayısı: 6 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
273) Masa sayısı: 6 | Garson sayısı: 8 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
274) Masa sayısı: 6 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
275) Masa sayısı: 6 | Garson sayısı: 10 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
276) Masa sayısı: 7 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -8
277) Masa sayısı: 7 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -9
278) Masa sayısı: 7 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -10
279) Masa sayısı: 7 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -11
280) Masa sayısı: 7 | Garson sayısı: 1 | Aşçı sayısı: 5 | Müşteri sayısı: 1 | Kazanç: -12
281) Masa sayısı: 7 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -8
282) Masa sayısı: 7 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -9
283) Masa sayısı: 7 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -10
284) Masa sayısı: 7 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -11
285) Masa sayısı: 7 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
286) Masa sayısı: 7 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -9
287) Masa sayısı: 7 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -10
288) Masa sayısı: 7 | Garson sayısı: 3 | Aşçı sayısı: 4 | Müşteri sayısı: 3 | Kazanç: -11
289) Masa sayısı: 7 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
290) Masa sayısı: 7 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -9
291) Masa sayısı: 7 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -10
292) Masa sayısı: 7 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
293) Masa sayısı: 7 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -10
294) Masa sayısı: 7 | Garson sayısı: 5 | Aşçı sayısı: 3 | Müşteri sayısı: 5 | Kazanç: -10
295) Masa sayısı: 7 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
296) Masa sayısı: 7 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
297) Masa sayısı: 7 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
298) Masa sayısı: 7 | Garson sayısı: 7 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
299) Masa sayısı: 7 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
300) Masa sayısı: 7 | Garson sayısı: 9 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
301) Masa sayısı: 8 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -9
302) Masa sayısı: 8 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -10
303) Masa sayısı: 8 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -11
304) Masa sayısı: 8 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -12
305) Masa sayısı: 8 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -9
306) Masa sayısı: 8 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -10
307) Masa sayısı: 8 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -11
308) Masa sayısı: 8 | Garson sayısı: 2 | Aşçı sayısı: 4 | Müşteri sayısı: 2 | Kazanç: -12
309) Masa sayısı: 8 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
310) Masa sayısı: 8 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -10
311) Masa sayısı: 8 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -11
312) Masa sayısı: 8 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
313) Masa sayısı: 8 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -10
314) Masa sayısı: 8 | Garson sayısı: 4 | Aşçı sayısı: 3 | Müşteri sayısı: 4 | Kazanç: -11
315) Masa sayısı: 8 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
316) Masa sayısı: 8 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
317) Masa sayısı: 8 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
318) Masa sayısı: 8 | Garson sayısı: 6 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
319) Masa sayısı: 8 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
320) Masa sayısı: 8 | Garson sayısı: 8 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
321) Masa sayısı: 9 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -10
322) Masa sayısı: 9 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -11
323) Masa sayısı: 9 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -12
324) Masa sayısı: 9 | Garson sayısı: 1 | Aşçı sayısı: 4 | Müşteri sayısı: 1 | Kazanç: -13
325) Masa sayısı: 9 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -10
326) Masa sayısı: 9 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -11
327) Masa sayısı: 9 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -12
328) Masa sayısı: 9 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
329) Masa sayısı: 9 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -11
330) Masa sayısı: 9 | Garson sayısı: 3 | Aşçı sayısı: 3 | Müşteri sayısı: 3 | Kazanç: -12
331) Masa sayısı: 9 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
332) Masa sayısı: 9 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -11
333) Masa sayısı: 9 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
334) Masa sayısı: 9 | Garson sayısı: 5 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
335) Masa sayısı: 9 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
336) Masa sayısı: 9 | Garson sayısı: 7 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
337) Masa sayısı: 10 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -11
338) Masa sayısı: 10 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -12
339) Masa sayısı: 10 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -13
340) Masa sayısı: 10 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -11
341) Masa sayısı: 10 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -12
342) Masa sayısı: 10 | Garson sayısı: 2 | Aşçı sayısı: 3 | Müşteri sayısı: 2 | Kazanç: -13
343) Masa sayısı: 10 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
344) Masa sayısı: 10 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -12
345) Masa sayısı: 10 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
346) Masa sayısı: 10 | Garson sayısı: 4 | Aşçı sayısı: 2 | Müşteri sayısı: 4 | Kazanç: -12
347) Masa sayısı: 10 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
348) Masa sayısı: 10 | Garson sayısı: 6 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
349) Masa sayısı: 11 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -12
350) Masa sayısı: 11 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -13
351) Masa sayısı: 11 | Garson sayısı: 1 | Aşçı sayısı: 3 | Müşteri sayısı: 1 | Kazanç: -14
352) Masa sayısı: 11 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -12
353) Masa sayısı: 11 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -13
354) Masa sayısı: 11 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
355) Masa sayısı: 11 | Garson sayısı: 3 | Aşçı sayısı: 2 | Müşteri sayısı: 3 | Kazanç: -13
356) Masa sayısı: 11 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
357) Masa sayısı: 11 | Garson sayısı: 5 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
358) Masa sayısı: 12 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -13
359) Masa sayısı: 12 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -14
360) Masa sayısı: 12 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -13
361) Masa sayısı: 12 | Garson sayısı: 2 | Aşçı sayısı: 2 | Müşteri sayısı: 2 | Kazanç: -14
362) Masa sayısı: 12 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
363) Masa sayısı: 12 | Garson sayısı: 4 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
364) Masa sayısı: 13 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -14
365) Masa sayısı: 13 | Garson sayısı: 1 | Aşçı sayısı: 2 | Müşteri sayısı: 1 | Kazanç: -15
366) Masa sayısı: 13 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -14
367) Masa sayısı: 13 | Garson sayısı: 3 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
368) Masa sayısı: 14 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -15
369) Masa sayısı: 14 | Garson sayısı: 2 | Aşçı sayısı: 1 | Müşteri sayısı: 2 | Kazanç: -15
370) Masa sayısı: 15 | Garson sayısı: 1 | Aşçı sayısı: 1 | Müşteri sayısı: 1 | Kazanç: -16

En İyi Senaryo
